Time,Chamber Pressure [Bar],N2 Pressure [Bar],Leakage Rate [Bar/Min],Wall Temp [C],Coolant In Temp,Coolant Out Temp,Injector Temp [C],Internal Temp [C],Heater on?
06/13/2024 10:25:05.771 AM,0.03560275584,0.3246798813,-0.004146932624,25.40314293,37.90897369,37.54077911,32.97613144,23.23516273,1
06/13/2024 10:25:06.772 AM,0.04515936598,0.3844074309,0.01928381808,25.66963768,37.93704605,37.56690216,33.00056458,23.37078857,1
06/13/2024 10:25:07.771 AM,-0.005011575762,0.3366253972,0.0353512615,25.94015503,37.96613693,37.59902573,33.02190399,23.51639366,1
06/13/2024 10:25:08.771 AM,0.02126834542,0.3533487022,0.05508315563,26.21888924,37.99755096,37.62884903,33.04719162,23.67134666,1
06/13/2024 10:25:09.671 AM,0.01410164218,0.3294577003,0.0422757715,26.35884857,38.01992035,37.64000702,33.05892563,23.75465584,1
06/13/2024 10:25:10.671 AM,0.04515936598,0.3294577003,0.08022560924,26.64178085,38.0579071,37.68227768,33.08223343,23.92398453,1
06/13/2024 10:25:11.772 AM,0.05471597612,0.3175121844,0.07855797559,26.93115234,38.07439423,37.71105576,33.10540009,24.10371971,1
06/13/2024 10:25:12.671 AM,0.009322836064,0.3652942181,0.1098531857,27.22245407,38.03679657,37.72027588,33.12876892,24.29407883,1
06/13/2024 10:25:13.671 AM,0.04277046397,0.3509598076,0.1596370339,27.36947441,38.03424454,37.7195015,33.14050293,24.39289474,1
06/13/2024 10:25:14.771 AM,0.03321385756,0.3461820185,0.1551037282,27.66697693,38.03619003,37.71218872,33.16408157,24.59705162,1
06/13/2024 10:25:15.671 AM,0.01887944527,0.3605154157,0.08410658687,27.96551895,38.05757904,37.71648788,33.18608475,24.8094635,1
06/13/2024 10:25:16.671 AM,0.05232607201,0.3414041996,0.05857629701,28.26949501,38.06164551,37.73320007,33.210186,25.03065491,1
06/13/2024 10:25:17.671 AM,0.03082395159,0.3294577003,0.01879348606,28.57465553,38.08387375,37.73834229,33.23857498,25.25939941,1
06/13/2024 10:25:18.671 AM,0.006933934055,0.343793124,0.0195930209,28.72727203,38.11890411,37.75148392,33.24908447,25.37664795,1
06/13/2024 10:25:19.672 AM,0.02843504958,0.3796286285,-0.0572437942,29.03404045,38.22542953,37.80765915,33.27151489,25.61462021,1
06/13/2024 10:25:20.771 AM,0.1024970114,0.2601755559,-0.08517281711,29.34541702,38.25793839,37.87542725,33.29736328,25.86410713,1
06/13/2024 10:25:21.671 AM,0.04038055986,0.3461820185,-0.1161460057,29.65768623,38.27183914,37.90321732,33.32221985,26.11638832,1
06/13/2024 10:25:22.671 AM,0.04515936598,0.3414041996,-0.06694503874,29.9718647,38.31903839,37.93280792,33.34423828,26.37577629,1
06/13/2024 10:25:23.772 AM,0.03321385756,0.3939630389,0.061751578,30.2859993,38.32232285,37.96546555,33.370224,26.64012337,1
06/13/2024 10:25:24.671 AM,0.05710487813,0.343793124,0.1189519241,30.44278717,38.32184982,37.97246552,33.38207626,26.77511406,1
06/13/2024 10:25:25.672 AM,0.02843504958,0.298399955,0.08548366278,30.76039314,38.32567596,37.98074722,33.40736008,27.04687309,1
06/13/2024 10:25:26.771 AM,0.01649054326,0.3461820185,0.01380722132,31.08021545,38.34407425,37.99238205,33.42922592,27.31972885,1
06/13/2024 10:25:27.671 AM,0.002156131435,0.343793124,-0.04698072001,31.23852158,38.36051559,38.00153351,33.44323349,27.45831299,1
06/13/2024 10:25:28.672 AM,0.02843504958,0.343793124,-0.07097942382,31.5563736,38.39807892,38.02593231,33.46897125,27.74032402,1
06/13/2024 10:25:29.671 AM,-0.01217928343,0.3533487022,-0.02699161693,31.87553215,38.41584778,38.05420685,33.4927063,28.02856255,1
06/13/2024 10:25:30.672 AM,0.002156131435,0.3390142918,-0.09594918787,32.19874573,38.40392303,38.07450104,33.51700211,28.31096077,1
06/13/2024 10:25:31.772 AM,0.03799165785,0.3533487022,-0.152444616,32.52077484,38.37987518,38.07447433,33.54252243,28.60025978,1
06/13/2024 10:25:32.771 AM,-0.007400477305,0.3222909868,-0.1300376356,32.84111023,38.39319611,38.06287766,33.57036591,28.88882446,1
06/13/2024 10:25:33.671 AM,0.02604614943,0.3151232898,-0.1236561239,33.00169373,38.42477036,38.06651688,33.58187866,29.03391457,1
