,0,1
0,975.0,0.017944292947358893
1,950.0,0.026578211898960334
2,925.0,0.04103811525405368
3,900.0,0.06690499157657284
4,875.0,0.11426361168497474
5,850.0,0.20097897206688142
6,825.0,0.35732126973095757
7,800.0,0.6261956452784581
8,775.0,1.0300042467927717
9,750.0,1.420290269212354
10,725.0,1.3148446359478603
11,700.0,0.8414028384286402
12,675.0,0.5977661627265216
13,650.0,0.49287194266213274
14,625.0,0.5213466804736804
15,600.0,0.779363274225291
16,575.0,1.7276460167399852
17,550.0,5.500700236670717
18,525.0,23.860859110106276
19,500.0,100.21586710226772
